SampleName,ImagePath,Width,Height,Category,Goal,BaselinePipeline,ValidationMode,ExpectedMetricName,ExpectedMetricMinimum,ExpectedMetricMaximum,Notes,ReferenceImagePath,PairGroup,PairRole
Product_Battery_ElectrolyteStain_Good,docs\samples\public\product\Battery_ElectrolyteStain_OK.png,572,420,Product Synthetic / Secondary Battery / Mean,"Measure electrolyte-stain brightness drift on a battery cell inspection region.",docs\samples\public\product\Product_Battery_ElectrolyteStain_Mean.pipeline.xml,Required,MeanValueAvg,70,96,"Public-safe secondary-battery electrolyte-stain benchmark. A faint stain remains inside the normal mean-brightness band.",,Battery_ElectrolyteStain,Good
Product_Battery_ElectrolyteStain_Heavy_Bad,docs\samples\public\product\Battery_ElectrolyteStain_Heavy_NG.png,572,420,Product Synthetic / Secondary Battery / Mean,"Reject a battery cell with heavy electrolyte-stain brightness drift.",docs\samples\public\product\Product_Battery_ElectrolyteStain_Mean.pipeline.xml,ExpectedFailure,MeanValueAvg,106,150,"Controlled NG benchmark for heavy electrolyte-stain brightness drift.",,Battery_ElectrolyteStain,Bad
Product_Battery_SeparatorWrinkle_Good,docs\samples\public\product\Battery_SeparatorWrinkle_OK.png,572,420,Product Synthetic / Secondary Battery / Contour,"Count separator wrinkle candidates on a battery separator inspection region.",docs\samples\public\product\Product_Battery_SeparatorWrinkle_Contour.pipeline.xml,Required,ResultCount,0,1,"Public-safe secondary-battery separator wrinkle benchmark. One shallow wrinkle remains inside the review band.",,Battery_SeparatorWrinkle,Good
Product_Battery_SeparatorWrinkle_Many_Bad,docs\samples\public\product\Battery_SeparatorWrinkle_Many_NG.png,572,420,Product Synthetic / Secondary Battery / Contour,"Reject a battery separator with several wrinkle candidates.",docs\samples\public\product\Product_Battery_SeparatorWrinkle_Contour.pipeline.xml,ExpectedFailure,ResultCount,3,6,"Controlled NG benchmark for separator wrinkle count.",,Battery_SeparatorWrinkle,Bad
Product_Battery_SeparatorPinhole_Good,docs\samples\public\product\Battery_SeparatorPinhole_OK.png,572,420,Product Synthetic / Secondary Battery / Blob,"Count separator pinhole candidates under backlight-style inspection.",docs\samples\public\product\Product_Battery_SeparatorPinhole_Blob.pipeline.xml,Required,ResultCount,0,1,"Public-safe secondary-battery separator pinhole benchmark. One small pinhole candidate remains inside the review band.",,Battery_SeparatorPinhole,Good
Product_Battery_SeparatorPinhole_Many_Bad,docs\samples\public\product\Battery_SeparatorPinhole_Many_NG.png,572,420,Product Synthetic / Secondary Battery / Blob,"Reject a battery separator with several pinhole candidates.",docs\samples\public\product\Product_Battery_SeparatorPinhole_Blob.pipeline.xml,ExpectedFailure,ResultCount,4,7,"Controlled NG benchmark for separator pinhole count.",,Battery_SeparatorPinhole,Bad
Product_Battery_CoatingGap_Good,docs\samples\public\product\Battery_CoatingGap_OK.png,572,420,Product Synthetic / Secondary Battery / LineDistance,"Measure the coating-to-tab clearance gap on a battery electrode.",docs\samples\public\product\Product_Battery_CoatingGap_Distance.pipeline.xml,Required,DistanceMmAvg,0.20,0.25,"Public-safe secondary-battery coating gap benchmark. The line tool should measure a normal coating clearance band.",,Battery_CoatingGap,Good
Product_Battery_CoatingGap_Narrow_Bad,docs\samples\public\product\Battery_CoatingGap_Narrow_NG.png,572,420,Product Synthetic / Secondary Battery / LineDistance,"Reject a coating gap that is too narrow for the same measurement rule.",docs\samples\public\product\Product_Battery_CoatingGap_Distance.pipeline.xml,ExpectedFailure,DistanceMmAvg,0.09,0.14,"Controlled NG benchmark for battery coating clearance. The same LineDistance pipeline should fail because the measured gap is below the normal band.",,Battery_CoatingGap,Bad
Product_Battery_ForeignObject_Good,docs\samples\public\product\Battery_ForeignObject_OK.png,572,420,Product Synthetic / Secondary Battery / Blob,"Count bright foreign-object candidates on a battery electrode.",docs\samples\public\product\Product_Battery_ForeignObject_Blob.pipeline.xml,Required,ResultCount,0,1,"Public-safe secondary-battery foreign-object benchmark. One small candidate remains inside the review band.",,Battery_ForeignObject,Good
Product_Battery_ForeignObject_Many_Bad,docs\samples\public\product\Battery_ForeignObject_Many_NG.png,572,420,Product Synthetic / Secondary Battery / Blob,"Reject a battery electrode with several bright foreign-object candidates.",docs\samples\public\product\Product_Battery_ForeignObject_Blob.pipeline.xml,ExpectedFailure,ResultCount,3,5,"Controlled NG benchmark for battery foreign-object count.",,Battery_ForeignObject,Bad
Product_Battery_EdgeBurr_Good,docs\samples\public\product\Battery_EdgeBurr_OK.png,572,420,Product Synthetic / Secondary Battery / Contour,"Count coating-edge burr candidates on a battery electrode.",docs\samples\public\product\Product_Battery_EdgeBurr_Contour.pipeline.xml,Required,ResultCount,0,1,"Public-safe secondary-battery edge-burr benchmark. A single small candidate remains inside the review band.",,Battery_EdgeBurr,Good
Product_Battery_EdgeBurr_Many_Bad,docs\samples\public\product\Battery_EdgeBurr_Many_NG.png,572,420,Product Synthetic / Secondary Battery / Contour,"Reject a battery electrode with several coating-edge burr candidates.",docs\samples\public\product\Product_Battery_EdgeBurr_Contour.pipeline.xml,ExpectedFailure,ResultCount,4,7,"Controlled NG benchmark for battery coating-edge burr count.",,Battery_EdgeBurr,Bad
Product_Battery_TabOffset_Good,docs\samples\public\product\Battery_TabOffset_OK.png,572,420,Product Synthetic / Secondary Battery / LineDistance,"Measure battery tab offset clearance against a reference lead.",docs\samples\public\product\Product_Battery_TabOffset_Distance.pipeline.xml,Required,DistanceMmAvg,0.20,0.25,"Public-safe secondary-battery tab offset benchmark. The reference-to-tab clearance stays inside the normal band.",,Battery_TabOffset,Good
Product_Battery_TabOffset_Shifted_Bad,docs\samples\public\product\Battery_TabOffset_Shifted_NG.png,572,420,Product Synthetic / Secondary Battery / LineDistance,"Reject a battery tab shifted too close to the reference lead.",docs\samples\public\product\Product_Battery_TabOffset_Distance.pipeline.xml,ExpectedFailure,DistanceMmAvg,0.09,0.14,"Controlled NG benchmark for tab offset drift. The same LineDistance pipeline should fail because the clearance is below the normal band.",,Battery_TabOffset,Bad
Product_Battery_SealWidth_Good,docs\samples\public\product\Battery_SealWidth_OK.png,572,420,Product Synthetic / Secondary Battery / LineDistance,"Measure battery seal width clearance against a reference band.",docs\samples\public\product\Product_Battery_SealWidth_Distance.pipeline.xml,Required,DistanceMmAvg,0.20,0.26,"Public-safe secondary-battery seal width benchmark. The seal band stays inside the normal width window.",,Battery_SealWidth,Good
Product_Battery_SealWidth_Narrow_Bad,docs\samples\public\product\Battery_SealWidth_Narrow_NG.png,572,420,Product Synthetic / Secondary Battery / LineDistance,"Reject a battery seal band that is too narrow.",docs\samples\public\product\Product_Battery_SealWidth_Distance.pipeline.xml,ExpectedFailure,DistanceMmAvg,0.09,0.14,"Controlled NG benchmark for seal width drift. The same LineDistance pipeline should fail because the width is below the normal band.",,Battery_SealWidth,Bad
Product_Battery_TabWeldVoid_Good,docs\samples\public\product\Battery_TabWeldVoid_OK.png,572,420,Product Synthetic / Secondary Battery / Blob,"Count bright void candidates inside a battery tab weld nugget.",docs\samples\public\product\Product_Battery_TabWeldVoid_Blob.pipeline.xml,Required,ResultCount,0,1,"Public-safe secondary-battery tab-weld void benchmark. One small void candidate remains inside the review band.",,Battery_TabWeldVoid,Good
Product_Battery_TabWeldVoid_Many_Bad,docs\samples\public\product\Battery_TabWeldVoid_Many_NG.png,572,420,Product Synthetic / Secondary Battery / Blob,"Reject a battery tab weld with too many void candidates.",docs\samples\public\product\Product_Battery_TabWeldVoid_Blob.pipeline.xml,ExpectedFailure,ResultCount,4,8,"Controlled NG benchmark for battery tab-weld void count.",,Battery_TabWeldVoid,Bad
Product_Battery_PouchEdgeFold_Good,docs\samples\public\product\Battery_PouchEdgeFold_OK.png,572,420,Product Synthetic / Secondary Battery / Contour,"Count pouch-edge fold candidates on a battery cell edge.",docs\samples\public\product\Product_Battery_PouchEdgeFold_Contour.pipeline.xml,Required,ResultCount,0,1,"Public-safe secondary-battery pouch-edge fold benchmark. A single small fold candidate remains inside the review band.",,Battery_PouchEdgeFold,Good
Product_Battery_PouchEdgeFold_Many_Bad,docs\samples\public\product\Battery_PouchEdgeFold_Many_NG.png,572,420,Product Synthetic / Secondary Battery / Contour,"Reject a battery pouch edge with several fold candidates.",docs\samples\public\product\Product_Battery_PouchEdgeFold_Contour.pipeline.xml,ExpectedFailure,ResultCount,4,7,"Controlled NG benchmark for pouch-edge fold count.",,Battery_PouchEdgeFold,Bad
Product_Battery_PouchSealBurn_Good,docs\samples\public\product\Battery_PouchSealBurn_OK.png,572,420,Product Synthetic / Secondary Battery / Blob,"Count pouch seal burn candidates on a battery pouch seal band.",docs\samples\public\product\Product_Battery_PouchSealBurn_Blob.pipeline.xml,Required,ResultCount,0,1,"Public-safe secondary-battery pouch-seal burn benchmark. One small burn candidate remains inside the review band.",,Battery_PouchSealBurn,Good
Product_Battery_PouchSealBurn_Many_Bad,docs\samples\public\product\Battery_PouchSealBurn_Many_NG.png,572,420,Product Synthetic / Secondary Battery / Blob,"Reject a battery pouch seal with several burn candidates.",docs\samples\public\product\Product_Battery_PouchSealBurn_Blob.pipeline.xml,ExpectedFailure,ResultCount,4,7,"Controlled NG benchmark for pouch-seal burn count.",,Battery_PouchSealBurn,Bad
Product_Battery_PouchSealBubble_Good,docs\samples\public\product\Battery_PouchSealBubble_OK.png,572,420,Product Synthetic / Secondary Battery / Blob,"Count pouch seal bubble candidates on a battery pouch seal band.",docs\samples\public\product\Product_Battery_PouchSealBubble_Blob.pipeline.xml,Required,ResultCount,0,1,"Public-safe secondary-battery pouch-seal bubble benchmark. One small bubble candidate remains inside the review band.",,Battery_PouchSealBubble,Good
Product_Battery_PouchSealBubble_Many_Bad,docs\samples\public\product\Battery_PouchSealBubble_Many_NG.png,572,420,Product Synthetic / Secondary Battery / Blob,"Reject a battery pouch seal with several bubble candidates.",docs\samples\public\product\Product_Battery_PouchSealBubble_Blob.pipeline.xml,ExpectedFailure,ResultCount,4,7,"Controlled NG benchmark for pouch-seal bubble count.",,Battery_PouchSealBubble,Bad
Product_Battery_SealEdgeDelamination_Good,docs\samples\public\product\Battery_SealEdgeDelamination_OK.png,572,420,Product Synthetic / Secondary Battery / Contour,"Count seal-edge delamination candidates on a battery pouch seal band.",docs\samples\public\product\Product_Battery_SealEdgeDelamination_Contour.pipeline.xml,Required,ResultCount,0,1,"Public-safe secondary-battery seal-edge delamination benchmark. One small edge delamination candidate remains inside the review band.",,Battery_SealEdgeDelamination,Good
Product_Battery_SealEdgeDelamination_Many_Bad,docs\samples\public\product\Battery_SealEdgeDelamination_Many_NG.png,572,420,Product Synthetic / Secondary Battery / Contour,"Reject a battery pouch seal with several seal-edge delamination candidates.",docs\samples\public\product\Product_Battery_SealEdgeDelamination_Contour.pipeline.xml,ExpectedFailure,ResultCount,4,7,"Controlled NG benchmark for seal-edge delamination count.",,Battery_SealEdgeDelamination,Bad
Product_Battery_TabOxidation_Good,docs\samples\public\product\Battery_TabOxidation_OK.png,572,420,Product Synthetic / Secondary Battery / Contour,"Count oxidation candidates on battery tab surfaces.",docs\samples\public\product\Product_Battery_TabOxidation_Contour.pipeline.xml,Required,ResultCount,0,1,"Public-safe secondary-battery tab-oxidation benchmark. One small oxidation candidate remains inside the review band.",,Battery_TabOxidation,Good
Product_Battery_TabOxidation_Many_Bad,docs\samples\public\product\Battery_TabOxidation_Many_NG.png,572,420,Product Synthetic / Secondary Battery / Contour,"Reject a battery tab set with several oxidation candidates.",docs\samples\public\product\Product_Battery_TabOxidation_Contour.pipeline.xml,ExpectedFailure,ResultCount,4,7,"Controlled NG benchmark for battery tab-oxidation count.",,Battery_TabOxidation,Bad
Product_Battery_TabDiscoloration_Good,docs\samples\public\product\Battery_TabDiscoloration_OK.png,572,420,Product Synthetic / Secondary Battery / Mean,"Measure average brightness of battery tab surfaces for discoloration.",docs\samples\public\product\Product_Battery_TabDiscoloration_Mean.pipeline.xml,Required,MeanValueAvg,145,180,"Public-safe secondary-battery tab-discoloration benchmark. The tab region stays inside the normal brightness band.",,Battery_TabDiscoloration,Good
Product_Battery_TabDiscoloration_Dark_Bad,docs\samples\public\product\Battery_TabDiscoloration_Dark_NG.png,572,420,Product Synthetic / Secondary Battery / Mean,"Reject battery tabs with dark discoloration over the tab region.",docs\samples\public\product\Product_Battery_TabDiscoloration_Mean.pipeline.xml,ExpectedFailure,MeanValueAvg,90,130,"Controlled NG benchmark for tab-discoloration brightness drift.",,Battery_TabDiscoloration,Bad
Product_Battery_SealContamination_Good,docs\samples\public\product\Battery_SealContamination_OK.png,572,420,Product Synthetic / Secondary Battery / Blob,"Count seal-contamination candidates on a battery pouch seal band.",docs\samples\public\product\Product_Battery_SealContamination_Blob.pipeline.xml,Required,ResultCount,0,1,"Public-safe secondary-battery seal-contamination benchmark. One small candidate remains inside the review band.",,Battery_SealContamination,Good
Product_Battery_SealContamination_Many_Bad,docs\samples\public\product\Battery_SealContamination_Many_NG.png,572,420,Product Synthetic / Secondary Battery / Blob,"Reject a battery pouch seal with several contamination candidates.",docs\samples\public\product\Product_Battery_SealContamination_Blob.pipeline.xml,ExpectedFailure,ResultCount,4,7,"Controlled NG benchmark for battery seal-contamination count.",,Battery_SealContamination,Bad
Product_Battery_LaserMark_Good,docs\samples\public\product\Battery_LaserMark_OK.png,572,420,Product Synthetic / Secondary Battery / Image Matching,"Find a battery laser mark with image matching.",docs\samples\public\product\Product_Battery_LaserMark_Matching.pipeline.xml,Required,ResultCount;ScoreMax,1;72,1;100,"Public-safe secondary-battery laser-mark benchmark using a generated template crop.",docs\samples\public\product\templates\Battery_LaserMark_Template.png,Battery_LaserMark,Good
Product_Battery_LaserMark_Missing_Bad,docs\samples\public\product\Battery_LaserMark_Missing_NG.png,572,420,Product Synthetic / Secondary Battery / Image Matching,"Reject a missing battery laser mark.",docs\samples\public\product\Product_Battery_LaserMark_Matching.pipeline.xml,ExpectedFailure,ResultCount,0,0,"Controlled NG benchmark for laser-mark target presence.",docs\samples\public\product\templates\Battery_LaserMark_Template.png,Battery_LaserMark,Bad
Product_Battery_TabDateCode_Good,docs\samples\public\product\Battery_TabDateCode_OK.png,572,420,Product Synthetic / Secondary Battery / Image Matching,"Find a battery tab date-code mark with image matching.",docs\samples\public\product\Product_Battery_TabDateCode_Matching.pipeline.xml,Required,ResultCount;ScoreMax,1;72,1;100,"Public-safe secondary-battery tab date-code benchmark using a generated template crop.",docs\samples\public\product\templates\Battery_TabDateCode_Template.png,Battery_TabDateCode,Good
Product_Battery_TabDateCode_Wrong_Bad,docs\samples\public\product\Battery_TabDateCode_Wrong_NG.png,572,420,Product Synthetic / Secondary Battery / Image Matching,"Reject a wrong or missing battery tab date-code mark.",docs\samples\public\product\Product_Battery_TabDateCode_Matching.pipeline.xml,ExpectedFailure,ResultCount,0,0,"Controlled NG benchmark for tab date-code target presence.",docs\samples\public\product\templates\Battery_TabDateCode_Template.png,Battery_TabDateCode,Bad
Product_Battery_ElectrolyteFillLine_Good,docs\samples\public\product\Battery_ElectrolyteFillLine_OK.png,572,420,Product Synthetic / Secondary Battery / LineDistance,"Measure electrolyte fill-line offset against a reference mark.",docs\samples\public\product\Product_Battery_ElectrolyteFillLine_Distance.pipeline.xml,Required,DistanceMmAvg,0.20,0.26,"Public-safe secondary-battery electrolyte fill-line benchmark. The fill line stays inside the normal offset window.",,Battery_ElectrolyteFillLine,Good
Product_Battery_ElectrolyteFillLine_Low_Bad,docs\samples\public\product\Battery_ElectrolyteFillLine_Low_NG.png,572,420,Product Synthetic / Secondary Battery / LineDistance,"Reject an electrolyte fill line shifted too close to the reference.",docs\samples\public\product\Product_Battery_ElectrolyteFillLine_Distance.pipeline.xml,ExpectedFailure,DistanceMmAvg,0.09,0.14,"Controlled NG benchmark for low electrolyte fill-line offset.",,Battery_ElectrolyteFillLine,Bad
Product_Battery_CellVentAlignment_Good,docs\samples\public\product\Battery_CellVentAlignment_OK.png,572,420,Product Synthetic / Secondary Battery / LineDistance,"Measure battery cell vent alignment against a reference mark.",docs\samples\public\product\Product_Battery_CellVentAlignment_Distance.pipeline.xml,Required,DistanceMmAvg,0.20,0.26,"Public-safe secondary-battery cell vent alignment benchmark. The vent remains inside the normal spacing window.",,Battery_CellVentAlignment,Good
Product_Battery_CellVentAlignment_Shifted_Bad,docs\samples\public\product\Battery_CellVentAlignment_Shifted_NG.png,572,420,Product Synthetic / Secondary Battery / LineDistance,"Reject a cell vent shifted too close to the reference mark.",docs\samples\public\product\Product_Battery_CellVentAlignment_Distance.pipeline.xml,ExpectedFailure,DistanceMmAvg,0.09,0.14,"Controlled NG benchmark for shifted cell vent alignment.",,Battery_CellVentAlignment,Bad
Product_Battery_PouchTabSkew_Good,docs\samples\public\product\Battery_PouchTabSkew_OK.png,572,420,Product Synthetic / Secondary Battery / LineDistance,"Measure pouch tab skew clearance against a reference tab mark.",docs\samples\public\product\Product_Battery_PouchTabSkew_Distance.pipeline.xml,Required,DistanceMmAvg,0.20,0.26,"Public-safe secondary-battery pouch tab skew benchmark. The tab clearance remains inside the normal spacing window.",,Battery_PouchTabSkew,Good
Product_Battery_PouchTabSkew_Shifted_Bad,docs\samples\public\product\Battery_PouchTabSkew_Shifted_NG.png,572,420,Product Synthetic / Secondary Battery / LineDistance,"Reject a pouch tab skewed too close to the reference mark.",docs\samples\public\product\Product_Battery_PouchTabSkew_Distance.pipeline.xml,ExpectedFailure,DistanceMmAvg,0.09,0.14,"Controlled NG benchmark for shifted pouch tab skew.",,Battery_PouchTabSkew,Bad
Product_Battery_CurrentCollectorBurr_Good,docs\samples\public\product\Battery_CurrentCollectorBurr_OK.png,572,420,Product Synthetic / Secondary Battery / Contour,"Count current-collector burr candidates along a battery foil edge.",docs\samples\public\product\Product_Battery_CurrentCollectorBurr_Contour.pipeline.xml,Required,ResultCount,0,1,"Public-safe secondary-battery current collector burr benchmark. One small burr candidate remains inside the acceptable count.",,Battery_CurrentCollectorBurr,Good
Product_Battery_CurrentCollectorBurr_Many_Bad,docs\samples\public\product\Battery_CurrentCollectorBurr_Many_NG.png,572,420,Product Synthetic / Secondary Battery / Contour,"Reject a battery current collector with several burr candidates.",docs\samples\public\product\Product_Battery_CurrentCollectorBurr_Contour.pipeline.xml,ExpectedFailure,ResultCount,4,7,"Controlled NG benchmark for current collector burr count.",,Battery_CurrentCollectorBurr,Bad
Product_Battery_SeparatorEdgeTear_Good,docs\samples\public\product\Battery_SeparatorEdgeTear_OK.png,572,420,Product Synthetic / Secondary Battery / Contour,"Count separator edge-tear candidates along a battery separator edge.",docs\samples\public\product\Product_Battery_SeparatorEdgeTear_Contour.pipeline.xml,Required,ResultCount,0,1,"Public-safe secondary-battery separator edge-tear benchmark. One small tear candidate remains inside the acceptable count.",,Battery_SeparatorEdgeTear,Good
Product_Battery_SeparatorEdgeTear_Many_Bad,docs\samples\public\product\Battery_SeparatorEdgeTear_Many_NG.png,572,420,Product Synthetic / Secondary Battery / Contour,"Reject a battery separator edge with several tear candidates.",docs\samples\public\product\Product_Battery_SeparatorEdgeTear_Contour.pipeline.xml,ExpectedFailure,ResultCount,4,7,"Controlled NG benchmark for separator edge-tear count.",,Battery_SeparatorEdgeTear,Bad
Product_Display_PixelDefect_Good,docs\samples\public\product\Display_PixelDefect_OK.png,572,420,Product Synthetic / Display / Contour,"Count isolated bright pixel-defect candidates on a display panel.",docs\samples\public\product\Product_Display_PixelDefect_Contour.pipeline.xml,Required,ResultCount,0,3,"Public-safe display defect benchmark. A small number of isolated candidates is acceptable.",,Display_PixelDefect,Good
Product_Display_PixelDefect_Many_Bad,docs\samples\public\product\Display_PixelDefect_Many_NG.png,572,420,Product Synthetic / Display / Contour,"Reject a display panel with too many bright defect candidates.",docs\samples\public\product\Product_Display_PixelDefect_Contour.pipeline.xml,ExpectedFailure,ResultCount,6,9,"Controlled NG benchmark for display pixel-defect count.",,Display_PixelDefect,Bad
Product_Display_Alignment_Good,docs\samples\public\product\Display_Alignment_OK.png,572,420,Product Synthetic / Display / Image Matching,"Find a display alignment cross mark with image matching.",docs\samples\public\product\Product_Display_Alignment_Matching.pipeline.xml,Required,ResultCount;ScoreMax,1;75,1;100,"Public-safe display alignment benchmark using a generated template crop.",docs\samples\public\product\templates\Display_Alignment_Template.png,Display_Alignment,Good
Product_Display_Alignment_Wrong_Bad,docs\samples\public\product\Display_Alignment_Wrong_NG.png,572,420,Product Synthetic / Display / Image Matching,"Reject a wrong display alignment mark.",docs\samples\public\product\Product_Display_Alignment_Matching.pipeline.xml,ExpectedFailure,ResultCount,0,0,"Controlled NG benchmark for image matching target presence.",docs\samples\public\product\templates\Display_Alignment_Template.png,Display_Alignment,Bad
Product_Display_Scratch_Good,docs\samples\public\product\Display_Scratch_OK.png,572,420,Product Synthetic / Display / Contour,"Count bright scratch candidates on a display panel.",docs\samples\public\product\Product_Display_Scratch_Contour.pipeline.xml,Required,ResultCount,0,1,"Public-safe display scratch benchmark. A single short scratch candidate remains inside the review band.",,Display_Scratch,Good
Product_Display_Scratch_Many_Bad,docs\samples\public\product\Display_Scratch_Many_NG.png,572,420,Product Synthetic / Display / Contour,"Reject a display panel with several scratch-like bright defects.",docs\samples\public\product\Product_Display_Scratch_Contour.pipeline.xml,ExpectedFailure,ResultCount,3,6,"Controlled NG benchmark for display scratch count. The same Contour pipeline should fail because too many scratch candidates are present.",,Display_Scratch,Bad
Product_Display_BrightnessBand_Good,docs\samples\public\product\Display_BrightnessBand_OK.png,572,420,Product Synthetic / Display / Mean,"Measure the average brightness of a display mura-band inspection region.",docs\samples\public\product\Product_Display_BrightnessBand_Mean.pipeline.xml,Required,MeanValueAvg,70,95,"Public-safe display brightness-band benchmark. The band stays inside the normal brightness range.",,Display_BrightnessBand,Good
Product_Display_BrightnessBand_Bright_Bad,docs\samples\public\product\Display_BrightnessBand_Bright_NG.png,572,420,Product Synthetic / Display / Mean,"Reject a display panel with a bright mura band.",docs\samples\public\product\Product_Display_BrightnessBand_Mean.pipeline.xml,ExpectedFailure,MeanValueAvg,110,155,"Controlled NG benchmark for display brightness-band drift.",,Display_BrightnessBand,Bad
Product_Display_Particle_Good,docs\samples\public\product\Display_Particle_OK.png,572,420,Product Synthetic / Display / Blob,"Count bright particle candidates on a display panel.",docs\samples\public\product\Product_Display_Particle_Blob.pipeline.xml,Required,ResultCount,0,1,"Public-safe display particle benchmark. A single small particle remains inside the review band.",,Display_Particle,Good
Product_Display_Particle_Many_Bad,docs\samples\public\product\Display_Particle_Many_NG.png,572,420,Product Synthetic / Display / Blob,"Reject a display panel with too many bright particle candidates.",docs\samples\public\product\Product_Display_Particle_Blob.pipeline.xml,ExpectedFailure,ResultCount,5,8,"Controlled NG benchmark for display particle count.",,Display_Particle,Bad
Product_Display_MuraVariation_Good,docs\samples\public\product\Display_MuraVariation_OK.png,572,420,Product Synthetic / Display / Mean,"Measure display mura variation under controlled uneven illumination.",docs\samples\public\product\Product_Display_MuraVariation_Mean.pipeline.xml,Required,MeanValueAvg,78,96,"Public-safe display mura variation benchmark. The inspection band remains inside the normal brightness window.",,Display_MuraVariation,Good
Product_Display_MuraVariation_Uneven_Bad,docs\samples\public\product\Display_MuraVariation_Uneven_NG.png,572,420,Product Synthetic / Display / Mean,"Reject a display panel with an uneven bright mura variation band.",docs\samples\public\product\Product_Display_MuraVariation_Mean.pipeline.xml,ExpectedFailure,MeanValueAvg,115,145,"Controlled NG benchmark for uneven display mura brightness drift.",,Display_MuraVariation,Bad
