Key	Korean	English
PropertyGrid.Type.EdgeBasedMatchingProperty.AUTO_MPOINT_PATTERN_HEIGHT.DisplayName	패턴 높이	Pattern height
PropertyGrid.Type.EdgeBasedMatchingProperty.AUTO_MPOINT_PATTERN_HEIGHT.Description	각 후보 패턴 창의 픽셀 높이입니다.	Height in pixels of each candidate pattern window.
PropertyGrid.Type.EdgeBasedMatchingProperty.AUTO_MPOINT_STRIDE.DisplayName	후보 간격	Candidate stride
PropertyGrid.Type.EdgeBasedMatchingProperty.AUTO_MPOINT_STRIDE.Description	후보 창 사이의 픽셀 간격입니다. 작을수록 더 많은 위치를 검사하고 시간이 오래 걸립니다.	Grid interval in pixels between candidate windows. Smaller values inspect more positions and take longer.
PropertyGrid.Type.EdgeBasedMatchingProperty.AUTO_MPOINT_MAX_RESULTS.DisplayName	최대 제안 수	Max suggestions
PropertyGrid.Type.EdgeBasedMatchingProperty.AUTO_MPOINT_MAX_RESULTS.Description	작업자가 검토할 수 있도록 표시하는 최대 통과 후보 수입니다.	Maximum number of accepted suggestions shown for operator review.
PropertyGrid.Type.EdgeBasedMatchingProperty.AUTO_MPOINT_MIN_FEATURE_QUALITY.DisplayName	최소 특징 품질	Min feature quality
PropertyGrid.Type.EdgeBasedMatchingProperty.AUTO_MPOINT_MIN_FEATURE_QUALITY.Description	정확 매칭 검증 전에 요구하는 대비·엣지 분포·방향 균형의 정규화 품질 하한입니다.	Minimum normalized contrast, edge coverage, and directional-balance quality required before exact matching checks.
PropertyGrid.Type.EdgeBasedMatchingProperty.AUTO_MPOINT_MIN_UNIQUENESS.DisplayName	최소 고유성	Min uniqueness
PropertyGrid.Type.EdgeBasedMatchingProperty.AUTO_MPOINT_MIN_UNIQUENESS.Description	학습 위치 점수와 가장 강한 경쟁 위치 점수의 최소 차이입니다. 반복 패턴이 많은 이미지에서는 높이십시오.	Minimum score margin between the taught location and the strongest competing location. Raise this for repetitive images.
PropertyGrid.Type.EdgeBasedMatchingProperty.AUTO_MPOINT_MAX_POSITION_ERROR.DisplayName	최대 위치 오차	Max position error
PropertyGrid.Type.EdgeBasedMatchingProperty.AUTO_MPOINT_MAX_POSITION_ERROR.Description	제안 패턴이 합성 재배치 검증에서 허용할 최대 픽셀 위치 오차입니다.	Maximum synthetic relocation error in pixels allowed for a suggested pattern.
PropertyGrid.Type.EdgeBasedMatchingProperty.AUTO_MPOINT_MIN_REPRESENTATIVE_IMAGES.DisplayName	최소 대표 이미지 수	Min representative images
PropertyGrid.Type.EdgeBasedMatchingProperty.AUTO_MPOINT_MIN_REPRESENTATIVE_IMAGES.Description	실제 이미지 매칭률로 후보를 자동 선정할 때 필요한 추가 대표 이미지의 최소 개수입니다.	Minimum number of additional representative images required when Auto MPoint ranks candidates by actual cross-image matching performance.
PropertyGrid.Type.EdgeBasedMatchingProperty.AUTO_MPOINT_MIN_REPRESENTATIVE_SUCCESS_RATE.DisplayName	최소 대표 성공률	Min representative success
PropertyGrid.Type.EdgeBasedMatchingProperty.AUTO_MPOINT_MIN_REPRESENTATIVE_SUCCESS_RATE.Description	선택한 대표 이미지에서 요구하는 0..1 매칭 성공률입니다. 이 값보다 낮은 후보는 탈락합니다.	Minimum 0..1 matching success rate across the selected representative images. Candidates below this rate are rejected.
VisionTool.AutoMPoint.Title	Auto MPoint 최적 패턴	Auto MPoint best pattern
VisionTool.AutoMPoint.Suggested	자동 1순위	Automatic best
VisionTool.AutoMPoint.Analyze	최적 패턴 찾기	Find best pattern
VisionTool.AutoMPoint.AnalyzeToolTip	현재 기준 이미지에서 후보를 만들고 선택한 대표 이미지의 실제 매칭 성공률로 최적 패턴을 선정합니다. Preview/Run 또는 레이어 변경은 실행하지 않습니다.	Generate candidates from the current reference image and select the best pattern by actual matching success across the representative images. This does not run Preview/Run or change layers.
VisionTool.AutoMPoint.RepresentativeImages	대표 이미지 선택	Select representative images
VisionTool.AutoMPoint.RepresentativeImagesToolTip	같은 제품·촬영 조건의 대표 이미지 여러 장을 선택합니다. Auto MPoint는 이 이미지들의 실제 매칭 성공률, 최소 고유성, 평균 점수 순으로 후보를 정렬합니다.	Select multiple representative images of the same product and imaging condition. Auto MPoint ranks candidates by actual success rate, minimum uniqueness, then mean score.
VisionTool.AutoMPoint.RepresentativeCountFormat	대표 이미지 {0}장	{0} representative images
VisionTool.AutoMPoint.RepresentativeLoadedFormat	대표 이미지 {0}장을 선택했습니다. 최적 패턴 찾기를 실행하십시오.	Selected {0} representative images. Run Find best pattern.
VisionTool.AutoMPoint.UsePattern	이 패턴 사용	Use this pattern
VisionTool.AutoMPoint.UsePatternToolTip	선택한 제안 ROI를 템플릿으로 저장합니다. 적용 후 매칭 미리보기는 작업자가 명시적으로 실행해야 합니다.	Save the selected suggested ROI as the template. The operator must run matching Preview explicitly afterward.
VisionTool.AutoMPoint.CandidateList	Auto MPoint 제안 후보 목록	Auto MPoint suggestion list
VisionTool.AutoMPoint.Ready	대표 이미지 3장 이상을 선택하면 실제 매칭률로 최적 패턴 하나를 자동 선정합니다.	Select at least three representative images to automatically choose one best pattern by actual matching performance.
VisionTool.AutoMPoint.NoImage	먼저 입력 이미지를 불러오십시오.	Load an input image first.
VisionTool.AutoMPoint.NoSelection	적용할 제안 후보를 선택하십시오.	Select a suggestion to apply.
VisionTool.AutoMPoint.Analyzing	후보를 만들고 대표 이미지의 실제 매칭 성공률·고유성·속도를 비교하는 중입니다.	Generating candidates and comparing actual matching success, uniqueness, and runtime across the representative images.
VisionTool.AutoMPoint.SuccessFormat	제안 후보 {0}개입니다. 대표 이미지가 없으면 단일 이미지 추천이며, Preview는 별도로 실행해야 합니다.	{0} suggestions found. Without representative images this is a single-image suggestion; Preview must still be run separately.
VisionTool.AutoMPoint.RepresentativeSuccessFormat	대표 이미지 {0}장 중 {1}장 매칭 성공({2:0.0}%). 최적 후보 #{3}을 자동 선택했습니다. 드로잉을 확인한 뒤 적용하십시오.	Matched {1} of {0} representative images ({2:0.0}%). Automatically selected best candidate #{3}. Review the drawing before applying it.
VisionTool.AutoMPoint.FailedFormat	후보 분석 실패: {0} - {1}	Candidate analysis failed: {0} - {1}
VisionTool.AutoMPoint.Changed	입력 이미지 또는 분석 조건이 바뀌었습니다. 후보를 다시 분석하십시오.	The input image or analysis settings changed. Analyze candidates again.
VisionTool.AutoMPoint.AppliedFormat	제안 #{0}을 템플릿으로 저장했습니다: {1}. 매칭 Preview는 자동 실행하지 않았습니다.	Saved suggestion #{0} as the template: {1}. Matching Preview was not run automatically.
VisionTool.AutoMPoint.SaveFailed	선택한 후보 템플릿을 저장하지 못했습니다.	Failed to save the selected candidate template.
VisionTool.AutoMPoint.ExportReport	N-이미지 보고서 저장	Save N-image report
VisionTool.AutoMPoint.ExportReportToolTip	이미 계산한 선택 후보의 전체 대표 이미지 결과표와 결정적 검토 드로잉을 자체 포함 HTML로 저장합니다. 매칭, Preview/Run, 패턴 적용 또는 레이어 변경을 다시 실행하지 않습니다.	Save the already-computed selected candidate results and deterministic review drawings as a self-contained HTML file. This does not rerun matching, Preview/Run, pattern apply, or layer changes.
VisionTool.AutoMPoint.ReportExportedFormat	N-이미지 증빙 보고서를 저장했습니다: {0}	Saved N-image evidence report: {0}
VisionTool.AutoMPoint.ReportExportFailedFormat	N-이미지 보고서 저장 실패: {0}	Failed to save N-image report: {0}
Shell.MainAction.ReadyBadge	준비	Ready
Shell.MainAction.ImageReadyTitle	이미지 준비됨	Image ready
Shell.MainAction.ImageReadyDetail	다음: 도구 선택 -> 미리보기 실행/확인 -> 파이프라인 추가	Next: select a tool -> run/check preview -> add to pipeline
Shell.MainAction.ImageReadyRoute	도구 선택 -> 미리보기 실행/확인	Select tool -> run/check preview
Shell.MainAction.ImageReadyStatus	파이프라인 추가 가능	Pipeline can be added
Shell.WorkspaceStatus.EmptyBadge	시작	Start
Shell.WorkspaceStatus.EmptyTitle	이미지를 로드하세요	Load an image
Shell.WorkspaceStatus.EmptyRoute	이미지 로드 또는 샘플 열기	Load image or open sample
Shell.WorkspaceStatus.EmptyStatus	이미지 준비 후 도구 선택	Select a tool after image is ready
Shell.WorkspaceStatus.SampleTitle	샘플 파이프라인 준비됨	Sample pipeline ready
Shell.WorkspaceStatus.SampleRoute	Pipeline Review 열기 -> Run Review 또는 첫 Step 열기	Open Pipeline Review -> Run Review or first step
Shell.WorkspaceStatus.SampleStatus	미리보기는 수동 실행	Preview runs manually
Shell.WorkspaceEmptyStepLoadTitle	1. 이미지 준비	1. Prepare image
Shell.WorkspaceEmptyStepLoadDetail	산업 이미지나 공개 샘플을 Main 레이어에 엽니다.	Open an industrial image or public sample in the Main layer.
Shell.WorkspaceEmptyStepSelectTitle	2. 도구 설정	2. Configure tool
Shell.WorkspaceEmptyStepSelectDetail	검사 목적에 맞는 도구를 열고 PropertyGrid 값을 조정합니다.	Open the tool for the inspection goal and adjust its PropertyGrid values.
Shell.WorkspaceEmptyStepPipelineTitle	3. Pipeline 구성	3. Build pipeline
Shell.WorkspaceEmptyStepPipelineDetail	Preview로 확인한 Step을 검사 순서와 레이어 경로로 연결합니다.	Connect previewed steps in inspection order with their layer routes.
Shell.WorkspaceEmptyStepPreviewTitle	4. 결과 검증	4. Validate results
Shell.WorkspaceEmptyStepPreviewDetail	명시적으로 Run한 뒤 출력, 지표, Good/Bad 증거를 비교합니다.	Run explicitly, then compare output, metrics, and Good/Bad evidence.
Shell.WorkspaceEmptySampleButton	샘플 열기	Open Sample
Shell.WorkspaceEmptyGuideButton	Learn 열기	Open Learn
Shell.WorkspaceEmptyPipelineButton	Pipeline 열기	Open Pipeline
Shell.WorkspaceEmptyLogHint	처음이면 Learn과 공개 샘플로 익히십시오. 실제 이미지를 연 뒤에는 확대, 이동, 픽셀 값과 실행 로그로 근거를 확인합니다.	Start with Learn and public samples. For real images, use zoom, pan, pixel values, and the Run Log to inspect the evidence.
Shell.WorkspaceFitImage	이미지 맞춤	Fit Image
Shell.WorkspaceSaveImage	이미지 저장	Save Image
VisionTool.Verification.PreviewNotRun	미리보기 전	Preview not run
VisionTool.Verification.RunPreview	미리보기 실행	Run Preview
VisionTool.Verification.AddToPipeline	파이프라인 추가	Add to Pipeline
VisionTool.Verification.CheckResultThenAddPipeline	결과 확인 후 파이프라인 추가	Check the result, then add to pipeline
VisionTool.Verification.AdjustAreaThreshold	이진화/면적/ROI 조정	Adjust threshold, area, or ROI
VisionTool.Verification.AdjustRoiContrastScan	ROI/대비/스캔 설정 조정	Adjust ROI, contrast, or scan settings
VisionTool.Verification.HeaderFormat	{0} 검증	{0} verification
VisionTool.Verification.NextActionFormat	다음: {0}	Next: {0}
VisionTool.Verification.CompactGuideFormat	{0} / {1} / {2} / {3}	{0} / {1} / {2} / {3}
VisionTool.Verification.ResultGuidanceFormat	{0} / 합격 기준: {1} / {2} / 다음: {3}	{0} / Criteria: {1} / {2} / Next: {3}
VisionTool.Verification.AreaSuccessReasonFormat	검출 {0}개 / 최대 면적 {1:0.#}	Count {0}, max area {1:0.#}.
VisionTool.Verification.AreaFailureReason	현재 면적/이진화 기준을 통과한 결과 없음	No result passed the current area/threshold criteria.
VisionTool.AreaReview.BoxFormat	최대 박스 {0:0.#}x{1:0.#}	Max box {0:0.#}x{1:0.#}.
VisionTool.AreaReview.BlobSuccessHint	블랍 면적/이진화/ROI 기준을 통과했습니다. 영역 개수와 최대 면적을 확인하세요.	Blob area/threshold/ROI criteria passed; check region count and largest area.
VisionTool.AreaReview.ContourSuccessHint	컨투어 면적/이진화/ROI 기준을 통과했습니다. 외곽선과 개수를 확인하세요.	Contour area/threshold/ROI criteria passed; check object outline and count.
VisionTool.AreaReview.SuccessHint	면적/이진화/ROI 기준을 통과했습니다. 영역 개수와 최대 면적을 확인하세요.	Area/threshold/ROI criteria passed; check region count and largest area.
VisionTool.AreaReview.MultipleCandidateRisk	여러 영역이 통과했습니다. 의도와 다르면 ROI를 좁히거나 면적/이진화 기준을 조정하세요.	Multiple regions passed; if this is not expected, narrow the ROI or tighten area/threshold limits.
VisionTool.AreaReview.BlobFailureCause	원인 후보: 이진화 범위, ROI, 면적 제한, 마스킹, 모폴로지 크기를 확인하세요.	Cause candidates: threshold range, ROI, area limits, masking, or morphology size.
VisionTool.AreaReview.ContourFailureCause	원인 후보: 이진화 범위, ROI, 면적 제한, 컨투어 검색 방식, 약한 외곽선을 확인하세요.	Cause candidates: threshold range, ROI, area limits, retrieval mode, or weak object boundary.
VisionTool.AreaReview.FailureCause	원인 후보: 이진화 범위, ROI, 면적 제한, 약한 대비를 확인하세요.	Cause candidates: threshold range, ROI, area limits, or weak contrast.
VisionTool.Verification.LineEdgeReasonFormat	라인 {0}개 / 엣지점 {1}	Lines {0}, edge {1}.
VisionTool.Verification.LineEdgeFailureReason	현재 기준을 통과한 라인 엣지 없음	No line edge passed the current criteria.
VisionTool.Verification.LineDistanceReasonFormat	거리 {0:0.#} px / 검출 {1:0}개	Distance {0:0.#} px, count {1:0}.
VisionTool.Verification.LineDistanceFailureReason	거리 결과 없음	Distance not found.
VisionTool.Verification.LineIntersectionSuccessReason	교차점 발견	Intersection cross found.
VisionTool.Verification.LineIntersectionFailureReason	교차점 없음	Intersection cross not found.
VisionTool.Verification.PreviewNotRunCurrentParameters	미리보기 전 / 현재 파라미터 확인은 미리보기 실행	Preview not run / Run Preview to verify current parameters.
VisionTool.Verification.PreviewNotRunCurrentRoute	미리보기 전 / 현재 입력과 출력 레이어 확인은 미리보기 실행	Preview not run / Run Preview to verify the current input and output layer.
VisionTool.Verification.TeachingStateFormat	{0} 설정 확인	{0} teaching
VisionTool.Verification.ResultStateFormat	{0} 결과 / {1}	{0} result / {1}
VisionTool.Verification.AreaCriteriaFormat	면적 {0}-{1} / {2} / {3} / {4}	Area {0}-{1} / {2} / {3} / {4}
VisionTool.Verification.ThresholdFormat	이진화 {0:0.#}	T {0:0.#}
VisionTool.Verification.LineCriteriaFormat	{0} {1} / 대비 {2:0.#} / 간격 {3:0.#} / {4}	{0} {1} / C{2:0.#} / S{3:0.#} / {4}
VisionTool.Review.ResultNotRun	결과 대기	Result not run
VisionTool.Review.Label.Decision	판정	Decision
VisionTool.Review.Label.Criteria	기준	Criteria
VisionTool.Review.Label.Count	검출	Count
VisionTool.Review.Label.State	상태	State
VisionTool.Review.Label.MaxArea	최대 면적	Max area
VisionTool.Review.Label.Center	중심	Center
VisionTool.Review.Label.Box	박스	Box
VisionTool.Review.Label.Score	점수	Score
VisionTool.Review.Label.Angle	각도	Angle
VisionTool.Review.Label.Scale	배율	Scale
VisionTool.Review.Label.Tact	처리	Tact
VisionTool.Review.Label.Mean	평균	Mean
VisionTool.Review.Label.Range	범위	Range
VisionTool.Review.Label.Type	방식	Type
VisionTool.Review.Label.Pixels	픽셀	Pixels
VisionTool.Review.Label.Input	입력	Input
VisionTool.Review.Label.Output	출력	Output
VisionTool.Review.Label.Contrast	대비	Contrast
VisionTool.Review.Label.Distance	거리	Distance
VisionTool.Review.Label.Length	길이	Length
VisionTool.Review.Label.Lines	라인	Lines
VisionTool.Review.Label.Edge	엣지	Edge
VisionTool.Review.Label.Point	점	Point
VisionTool.Review.Label.Cross	교차	Cross
VisionTool.Review.Label.Mm	mm	mm
VisionTool.Review.NoResult	결과 없음	no result
VisionTool.Review.NoBlob	블랍 없음	no blob
VisionTool.Review.NoContour	컨투어 없음	no contour
VisionTool.Review.NoMatch	매칭 없음	no match
VisionTool.Review.NoEdge	엣지 없음	no edge
VisionTool.Review.NeedPair	라인 2개 필요	need pair
VisionTool.Review.CrossYes	예	Yes
VisionTool.Review.CrossNo	아니오	No
VisionTool.Review.FullImage	전체 이미지	Full image
VisionTool.Review.FullImageRoiFallback	전체 이미지 (ROI 미지정)	Full image (ROI not set)
VisionTool.Review.RoiOn	ROI 사용	ROI on
VisionTool.Review.MultiRoi	다중 ROI	Multi ROI
VisionTool.Review.ThresholdOff	이진화 꺼짐	T off
VisionTool.Review.MaskOn	마스크 사용	Mask on
VisionTool.Review.MaskOff	마스크 꺼짐	Mask off
VisionTool.Review.AngleOn	각도 탐색 사용	Angle on
VisionTool.Review.AngleOff	각도 탐색 꺼짐	Angle off
VisionTool.Review.ScaleOn	배율 탐색 사용	Scale on
VisionTool.Review.ScaleOff	배율 탐색 꺼짐	Scale off
VisionTool.Review.PyramidOn	피라미드 사용	Pyramid on
VisionTool.Review.OriginalImage	원본	Original
VisionTool.Verification.AdaptiveThresholdFormat	적응형 {0:0.#}	Adaptive {0:0.#}
VisionTool.TemplateStatus.ReadyFormat	템플릿 준비 / {0}	Template ready / {0}
VisionTool.TemplateStatus.MissingFormat	템플릿 파일 없음 / {0}	Template file missing / {0}
VisionTool.TemplateStatus.NotSelected	템플릿 미선택	Template not selected
VisionTool.Review.FeatureRatioCriteriaFormat	Ratio <= {0:0.###}	Ratio <= {0:0.###}
VisionTool.Review.RansacCriteriaFormat	RANSAC {0:0.#}	RANSAC {0:0.#}
VisionTool.Line.PurposeLabel	목적	Purpose
VisionTool.Line.SettingLabel	라인	Setting
VisionTool.Line.Purpose.Edge	엣지	Edge
VisionTool.Line.Purpose.Measure	측정	Measure
VisionTool.Line.Purpose.Intersection	교차	Intersection
VisionTool.Line.LineA	Line A	Line A
VisionTool.Line.LineB	Line B	Line B
VisionTool.Line.EditSelectedRoiToolTip	선택 라인 ROI 편집	Edit selected line ROI
VisionTool.Line.Purpose.EdgeHint	선택 라인의 엣지점과 피팅 라인 안정성을 확인합니다.	Edge points and fitted line stability for the selected line
VisionTool.Line.Purpose.MeasureHint	Line A 스캔 라인과 Line B 엣지 교차 거리 측정입니다.	Line A scan lines to Line B edge intersections
VisionTool.Line.Purpose.IntersectionHint	Line A와 Line B 피팅 라인의 교차점을 확인합니다.	Intersection point from Line A and Line B fit-line crossing
VisionTool.Review.ScoreThresholdLabel	점수 >=	Score >=
VisionTool.Review.AreaSummaryFormat	{0} / 검출 {1}개 / 최대 면적 {2:0.#} / 중심 {3:0.#},{4:0.#} / 박스 {5:0.#}x{6:0.#}	{0} / Count {1} / Max area {2:0.#} / Center {3:0.#},{4:0.#} / Box {5:0.#}x{6:0.#}
VisionTool.Review.AreaEmptySummaryFormat	{0} / 검출 0개 / {1}	{0} / Count 0 / {1}
VisionTool.Review.MeanSummaryFormat	Mean / 평균 {0:0.0} / 범위 {1} / 검출 {2}개	Mean / Avg {0:0.0} / Range {1} / Count {2}
VisionTool.Review.HsvSummaryFormat	HSV / 선택 {0:0.0}% / {1}	HSV / Selected {0:0.0}% / {1}
VisionTool.Review.HistogramSummaryFormat	Histogram / {0} / 평균 {1:0.0}->{2:0.0} / 대비 {3:0.0}->{4:0.0}	Histogram / {0} / Mean {1:0.0}->{2:0.0} / Contrast {3:0.0}->{4:0.0}
VisionTool.Review.MatchCountCriteriaFormat	매칭 {0}개	Match {0}
VisionTool.Review.CannyCriteriaFormat	Canny {0}	Canny {0}
VisionTool.Review.SearchCriteriaFormat	탐색 {0}	Search {0}
VisionTool.Review.PointsCriteriaFormat	포인트 {0}	Points {0}
VisionTool.Review.MatchingSummaryFormat	{0} / 검출 {1}개 / 점수 {2:0.000} / 중심 {3:0.#},{4:0.#} / 박스 {5:0.#}x{6:0.#} / 각도 {7:0.###}{8}{9}	{0} / Count {1} / Score {2:0.000} / Center {3:0.#},{4:0.#} / Box {5:0.#}x{6:0.#} / Angle {7:0.###}{8}{9}
VisionTool.Review.MatchingEmptySummaryFormat	{0} / 검출 0개 / 매칭 없음	{0} / Count 0 / no match
VisionTool.Review.LineEdgeEmptySummary	엣지 / 검출 0개 / 엣지 없음	Edge / Count 0 / no edge
VisionTool.Review.LineDistanceEmptySummary	측정 / 거리 없음 / 검출 0개	Measure / Distance none / Count 0
VisionTool.Review.LineDistanceSummaryWithMmFormat	측정 / 거리 {0:0.#} px / {1:0.###} mm / 검출 {2:0}개	Measure / Distance {0:0.#} px / {1:0.###} mm / Count {2:0}
VisionTool.Review.LineDistanceSummaryFormat	측정 / 거리 {0:0.#} px / 검출 {1:0}개	Measure / Distance {0:0.#} px / Count {1:0}
VisionTool.Review.LineIntersectionSummaryFormat	교차 / 점 {0:0},{1:0} / 교차 {2} / 엣지 {3:0}	Intersection / Point {0:0},{1:0} / Cross {2} / Edge {3:0}
VisionTool.Review.LineIntersectionNoCrossSummaryFormat	교차 / 교차 아니오 / 엣지 {0:0}	Intersection / Cross No / Edge {0:0}
VisionTool.Review.LineMeasureSummaryFormat	측정 / 길이 {0:0.#} px / {1:0.###} mm / 각도 {2:0.#} deg	Measure / Length {0:0.#} px / {1:0.###} mm / Angle {2:0.#} deg
VisionTool.Review.LineEdgeSummaryFormat	엣지 / 라인 {0}개 / 엣지 {1} / 길이 {2:0.#}	Edge / Count {0} / Edge {1} / Length {2:0.#}
VisionTool.Review.LineNeedPairSummaryFormat	교차 / 라인 2개 필요 / 엣지 {0}	Intersection / Need pair / Edge {0}
VisionTool.MatchingGuide.Header	검증 흐름	Verification Flow
VisionTool.MatchingGuide.EdgeHeader	엣지 매칭 검증	Edge Match Verification
VisionTool.MatchingGuide.FeatureHeader	특징 매칭 검증	Feature Match Verification
VisionTool.MatchingGuide.ReadyState	상태: 템플릿 준비 / 미리보기 실행 가능	State: template ready / preview available
VisionTool.MatchingGuide.EdgeReadyState	상태: 템플릿 준비 / 엣지 후보 검증 대기	State: template ready / waiting for edge candidate verification
VisionTool.MatchingGuide.FeatureReadyState	상태: 템플릿 준비 / 특징점 후보 검증 대기	State: template ready / waiting for feature candidate verification
VisionTool.MatchingGuide.NotReadyState	상태: 템플릿 필요 / 미리보기 전 준비 필요	State: template required / prepare before preview
VisionTool.MatchingGuide.EdgeNotReadyState	상태: 템플릿 필요 / 패턴 경로 등록 필요	State: template required / register a pattern path
VisionTool.MatchingGuide.FeatureNotReadyState	상태: 특징 템플릿 필요 / 패턴 경로 등록 필요	State: feature template required / register a pattern path
VisionTool.MatchingGuide.ReadyNext	입력/출력 레이어를 확인하고 미리보기 실행	Check input/output layers and run preview
VisionTool.MatchingGuide.EdgeReadyNext	미리보기 실행 후 엣지 박스와 출력 레이어 확인	Run preview, then check edge boxes and the output layer
VisionTool.MatchingGuide.FeatureReadyNext	미리보기 실행 후 특징 박스와 출력 레이어 확인	Run preview, then check feature boxes and the output layer
VisionTool.MatchingGuide.NotReadyNext	패턴 경로에서 템플릿을 등록한 뒤 미리보기 실행	Register a template from the pattern path, then run preview
VisionTool.MatchingGuide.EdgeNotReadyNext	패턴 경로에서 템플릿을 등록한 뒤 미리보기 실행	Register a template from the pattern path, then run preview
VisionTool.MatchingGuide.FeatureNotReadyNext	패턴 경로에서 특징 템플릿을 등록한 뒤 미리보기 실행	Register a feature template from the pattern path, then run preview
VisionTool.MatchingGuide.DecisionStateFormat	상태: {0}	State: {0}
VisionTool.MatchingGuide.CompactStateFormat	{0} / {1}	{0} / {1}
VisionTool.MatchingGuide.CriteriaFallback	합격 기준: 결과 위치와 오버레이 확인	Pass criteria: check result position and overlay
VisionTool.MatchingGuide.EdgeCriteriaFallback	합격 기준: 엣지 박스, 점수, 출력 레이어 확인	Pass criteria: check edge boxes, score, and output layer
VisionTool.MatchingGuide.FeatureCriteriaFallback	합격 기준: 특징점 기하와 출력 레이어 확인	Pass criteria: check feature geometry and output layer
VisionTool.MatchingGuide.CriteriaFormat	합격 기준: {0}	Pass criteria: {0}
VisionTool.MatchingGuide.NextActionFormat	다음: {0}	Next: {0}
VisionTool.MatchingGuide.SuccessNext	결과 박스와 출력 레이어를 확인한 뒤 파이프라인에 추가	Check result boxes and the output layer, then add to pipeline
VisionTool.MatchingGuide.EdgeSuccessNext	엣지 박스와 출력 레이어를 확인한 뒤 파이프라인에 추가	Check edge boxes and the output layer, then add to pipeline
VisionTool.MatchingGuide.FeatureSuccessNext	특징 박스와 출력 레이어를 확인한 뒤 파이프라인에 추가	Check feature boxes and the output layer, then add to pipeline
VisionTool.MatchingGuide.FailureNext	템플릿 ROI, 최소 점수, 매칭 개수를 조정하고 다시 미리보기	Adjust template ROI, min score, and match count, then run preview again
VisionTool.MatchingGuide.EdgeFailureNext	템플릿 ROI, Canny 범위, 최소 점수, 매칭 개수를 조정하고 다시 미리보기	Adjust template ROI, Canny range, min score, and match count, then run preview again
VisionTool.MatchingGuide.FeatureFailureNext	특징 템플릿, Ratio, RANSAC 허용 오차를 조정하고 다시 미리보기	Adjust feature template, ratio, and RANSAC tolerance, then run preview again
VisionTool.MatchingReview.NoCandidateReason	현재 기준을 통과한 후보가 없습니다.	No candidate passed the current criteria.
VisionTool.MatchingReview.EdgeNoCandidateReason	현재 Canny/점수 기준을 통과한 엣지 후보가 없습니다.	No edge candidate passed the current Canny/score criteria.
VisionTool.MatchingReview.NoCandidateNext	템플릿 재등록, ROI 조정, 최소 점수 조정 후 다시 미리보기	Re-register the template, adjust ROI or min score, then run preview again
VisionTool.MatchingReview.EdgeNoCandidateNext	템플릿 ROI, Canny 범위, 최소 점수, 매칭 개수를 조정하고 다시 미리보기	Adjust template ROI, Canny range, min score, and match count, then run preview again
VisionTool.MatchingReview.ScoreFailReasonFormat	최고 점수 {0:0.###}가 기준 {1:0.###}보다 낮습니다.	Best score {0:0.###} is below the criteria {1:0.###}.
VisionTool.MatchingReview.EdgeScoreFailReasonFormat	최고 엣지 점수 {0:0.###}가 기준 {1:0.###}보다 낮습니다.	Best edge score {0:0.###} is below the criteria {1:0.###}.
